# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
1.953007e-07,8.428582e-09
1.998512e-07,7.865846e-09
2.045077e-07,7.340693e-09
2.092727e-07,6.850591e-09
2.141488e-07,6.393206e-09
2.191385e-07,5.966363e-09
2.242444e-07,5.568021e-09
2.294693e-07,5.196278e-09
2.348160e-07,4.849341e-09
2.402872e-07,4.525576e-09
2.458859e-07,4.223426e-09
2.516150e-07,3.941454e-09
2.574776e-07,3.678303e-09
2.634769e-07,3.432719e-09
2.696159e-07,3.203534e-09
2.758979e-07,2.989654e-09
2.823264e-07,2.790047e-09
2.889046e-07,2.603771e-09
2.956360e-07,2.429932e-09
3.025243e-07,2.267698e-09
3.095731e-07,2.116296e-09
3.167862e-07,1.975000e-09
3.241673e-07,1.843140e-09
3.317203e-07,1.720084e-09
3.394495e-07,1.605242e-09
3.473587e-07,1.498068e-09
3.554520e-07,1.398051e-09
3.637341e-07,1.304710e-09
3.722092e-07,1.217600e-09
3.808816e-07,1.136308e-09
3.897561e-07,1.060443e-09
3.988375e-07,9.896420e-10
4.081304e-07,9.235690e-10
4.176398e-07,8.619068e-10
4.273709e-07,8.043614e-10
4.373287e-07,7.506581e-10
4.475184e-07,7.005408e-10
4.579455e-07,6.537697e-10
4.686158e-07,6.101203e-10
4.795345e-07,5.693858e-10
4.907077e-07,5.313708e-10
5.021411e-07,4.958939e-10
